StateName,CountyName,County_FIPS,Event_name,Year,PropertyDmg,PropertyDmg(ADJ 2023),PropertyDmgPerCapita,Property_Damage_Duration,Duration_Days,Records
MISSISSIPPI,DeSoto,28033,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2005000.0,2005000.0,10.37532,1,1,3
GEORGIA,Dooly,13093,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.09107,1,1,2
ILLINOIS,Edwards,17047,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.33512,1,1,2
INDIANA,Elkhart,18039,Severe Weather/Tornadoes 2023 Mar Central/East,2023,136000.0,136000.0,0.65889,1,1,9
KENTUCKY,Elliott,21063,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.69013,1,1,1
TEXAS,Erath,48143,Severe Weather/Tornadoes 2023 Mar Central/East,2023,105000.0,105000.0,2.37583,1,1,3
NEW YORK,Erie,36029,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.00211,1,1,2
KENTUCKY,Estill,21065,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.35878,1,1,1
PENNSYLVANIA,Fayette,42051,Severe Weather/Tornadoes 2023 Mar Central/East,2023,35000.0,35000.0,0.28245,1,1,6
TENNESSEE,Fayette,47047,Severe Weather/Tornadoes 2023 Mar Central/East,2023,12000.0,12000.0,0.27165,1,1,4
KENTUCKY,Fleming,21069,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
VIRGINIA,Floyd,51063,Severe Weather/Tornadoes 2023 Mar Central/East,2023,30000.0,30000.0,1.91339,1,1,1
GEORGIA,Floyd,13115,Severe Weather/Tornadoes 2023 Mar Central/East,2023,6000.0,6000.0,0.05993,1,1,6
KENTUCKY,Floyd,21071,Severe Weather/Tornadoes 2023 Mar Central/East,2023,46000.0,46000.0,1.33632,1,1,1
INDIANA,Fountain,18045,Severe Weather/Tornadoes 2023 Mar Central/East,2023,100000.0,100000.0,5.97693,1,1,2
VIRGINIA,Franklin,51067,Severe Weather/Tornadoes 2023 Mar Central/East,2023,35000.0,35000.0,0.63007,1,1,1
OHIO,Franklin,39049,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.01131,1,1,2
LOUISIANA,Franklin,22041,Severe Weather/Tornadoes 2023 Mar Central/East,2023,123000.0,123000.0,6.37801,1,1,5
ILLINOIS,Franklin,17055,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.05385,1,1,2
KENTUCKY,Fulton,21075,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.15778,1,1,1
INDIANA,Fulton,18049,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,0.49121,1,1,2
VIRGINIA,Galax,51640,Severe Weather/Tornadoes 2023 Mar Central/East,2023,80000.0,80000.0,11.91008,1,1,2
ILLINOIS,Gallatin,17059,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.42827,1,1,2
INDIANA,Gibson,18051,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.06078,1,1,2
VIRGINIA,Giles,51071,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.91147,1,1,1
GEORGIA,Gordon,13129,Severe Weather/Tornadoes 2023 Mar Central/East,2023,3000.0,3000.0,0.0502,1,1,6
KENTUCKY,Graves,21083,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.02743,1,1,1
VIRGINIA,Grayson,51077,Severe Weather/Tornadoes 2023 Mar Central/East,2023,75000.0,75000.0,4.90677,1,1,1
WISCONSIN,Green,55045,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1200000.0,1200000.0,32.47544,1,1,3
WEST VIRGINIA,Greenbrier,54025,Severe Weather/Tornadoes 2023 Mar Central/East,2023,20000.0,20000.0,0.6221,1,1,2
IOWA,Grundy,19075,Severe Weather/Tornadoes 2023 Mar Central/East,2023,100000.0,100000.0,8.07494,1,1,2
OHIO,Guernsey,39059,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,2
TENNESSEE,Hamblen,47063,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
ILLINOIS,Hamilton,17065,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.25281,1,1,2
WEST VIRGINIA,Hancock,54029,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.17765,1,1,4
TENNESSEE,Hardeman,47069,Severe Weather/Tornadoes 2023 Mar Central/East,2023,315000.0,315000.0,12.32057,1,1,10
ILLINOIS,Hardin,17069,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.56038,1,1,2
TENNESSEE,Hardin,47071,Severe Weather/Tornadoes 2023 Mar Central/East,2023,4160000.0,4160000.0,152.77829,1,1,4
OHIO,Hardin,39065,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.16465,1,1,4
MARYLAND,Harford,24025,Severe Weather/Tornadoes 2023 Mar Central/East,2023,17000.0,17000.0,0.06424,1,1,4
KENTUCKY,Harlan,21095,Severe Weather/Tornadoes 2023 Mar Central/East,2023,4000.0,4000.0,0.15795,1,1,1
OHIO,Harrison,39067,Severe Weather/Tornadoes 2023 Mar Central/East,2023,60000.0,60000.0,4.23759,1,1,2
TENNESSEE,Haywood,47075,Severe Weather/Tornadoes 2023 Mar Central/East,2023,75000.0,75000.0,4.32825,1,1,3
KENTUCKY,Henderson,21101,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.04533,1,1,2
INDIANA,Henry,18065,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.02044,1,1,2
TENNESSEE,Henry,47079,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.46077,1,1,2
VIRGINIA,Henry,51089,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.3018,1,1,1
OHIO,Henry,39069,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,0.36337,1,1,2
NEW YORK,Herkimer,36043,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
KENTUCKY,Hickman,21105,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.22487,1,1,1
OHIO,Highland,39071,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.02293,1,1,2
KENTUCKY,Hopkins,21107,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.04451,1,1,2
INDIANA,Howard,18067,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1234000.0,1234000.0,14.72009,1,1,7
MISSOURI,Howell,29091,Severe Weather/Tornadoes 2023 Mar Central/East,2023,25000.0,25000.0,0.61372,1,1,2
INDIANA,Huntington,18069,Severe Weather/Tornadoes 2023 Mar Central/East,2023,7000.0,7000.0,0.19032,1,1,3
PENNSYLVANIA,Indiana,42063,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,0.12035,1,1,8
WISCONSIN,Iowa,55049,Severe Weather/Tornadoes 2023 Mar Central/East,2023,600000.0,600000.0,25.04592,1,1,2
TEXAS,Jack,48237,Severe Weather/Tornadoes 2023 Mar Central/East,2023,50000.0,50000.0,5.6338,1,1,1
ILLINOIS,Jackson,17077,Severe Weather/Tornadoes 2023 Mar Central/East,2023,7000.0,7000.0,0.13425,1,1,4
IOWA,Jackson,19097,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
KENTUCKY,Jackson,21109,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,1.14469,1,1,1
WISCONSIN,Jefferson,55055,Severe Weather/Tornadoes 2023 Mar Central/East,2023,400000.0,400000.0,4.6651,1,1,2
PENNSYLVANIA,Jefferson,42065,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.11465,1,1,4
ILLINOIS,Jefferson,17081,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.05507,1,1,2
MISSOURI,Jefferson,29099,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.02162,1,1,2
OHIO,Jefferson,39081,Severe Weather/Tornadoes 2023 Mar Central/East,2023,25000.0,25000.0,0.39047,1,1,2
INDIANA,Johnson,18081,Severe Weather/Tornadoes 2023 Mar Central/East,2023,7473000.0,7473000.0,44.53012,1,1,4
IOWA,Johnson,19103,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
TEXAS,Johnson,48251,Severe Weather/Tornadoes 2023 Mar Central/East,2023,50000.0,50000.0,0.24642,1,1,1
KENTUCKY,Johnson,21115,Severe Weather/Tornadoes 2023 Mar Central/East,2023,4000.0,4000.0,0.18086,1,1,1
ILLINOIS,Johnson,17087,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.15008,1,1,2
IOWA,Keokuk,19107,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
VIRGINIA,King and Queen,51097,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.29762,1,1,2
KENTUCKY,Knox,21121,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
WISCONSIN,Lafayette,55065,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1303000.0,1303000.0,76.89584,1,1,4
INDIANA,LaGrange,18087,Severe Weather/Tornadoes 2023 Mar Central/East,2023,4000.0,4000.0,0.09778,1,1,2
OHIO,Lake,39085,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.00432,1,1,2
INDIANA,LaPorte,18091,Severe Weather/Tornadoes 2023 Mar Central/East,2023,6000.0,6000.0,0.05371,1,1,3
PENNSYLVANIA,Lebanon,42075,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.00693,1,1,2
KENTUCKY,Lee,21129,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.68559,1,1,1
ARKANSAS,Lee,5077,Severe Weather/Tornadoes 2023 Mar Central/East,2023,50000.0,50000.0,6.09682,1,1,2
GEORGIA,Lee,13177,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.05905,1,1,2
MISSISSIPPI,Lee,28081,Severe Weather/Tornadoes 2023 Mar Central/East,2023,106011000.0,106011000.0,1280.34155,1,1,6
KENTUCKY,Leslie,21131,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,3
KENTUCKY,Letcher,21133,Severe Weather/Tornadoes 2023 Mar Central/East,2023,20000.0,20000.0,0.97929,1,1,1
TENNESSEE,Lewis,47101,Severe Weather/Tornadoes 2023 Mar Central/East,2023,900000.0,900000.0,68.88107,1,1,1
VIRGINIA,Lexington,51678,Severe Weather/Tornadoes 2023 Mar Central/East,2023,11666.67,11666.67,1.54977,1,1,1
KENTUCKY,Livingston,21139,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.22492,1,1,2
NEW YORK,Livingston,36051,Severe Weather/Tornadoes 2023 Mar Central/East,2023,11000.0,11000.0,0.17986,1,1,8
ARKANSAS,Lonoke,5085,Severe Weather/Tornadoes 2023 Mar Central/East,2023,4290000.0,4290000.0,56.48899,1,1,1
OHIO,Lorain,39093,Severe Weather/Tornadoes 2023 Mar Central/East,2023,28000.0,28000.0,0.08808,1,1,4
KENTUCKY,Lyon,21143,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.2177,1,1,2
TENNESSEE,Macon,47111,Severe Weather/Tornadoes 2023 Mar Central/East,2023,500000.0,500000.0,18.66159,1,1,1
ILLINOIS,Macoupin,17117,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,0.22718,1,1,1
FLORIDA,Madison,12079,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.108,1,1,2
ILLINOIS,Madison,17119,Severe Weather/Tornadoes 2023 Mar Central/East,2023,35000.0,35000.0,0.13321,1,1,4
LOUISIANA,Madison,22065,Severe Weather/Tornadoes 2023 Mar Central/East,2023,20000.0,20000.0,2.1631,1,1,1
INDIANA,Madison,18095,Severe Weather/Tornadoes 2023 Mar Central/East,2023,100000.0,100000.0,0.75469,1,1,2
KENTUCKY,Magoffin,21153,Severe Weather/Tornadoes 2023 Mar Central/East,2023,8000.0,8000.0,0.7125,1,1,1
IOWA,Marion,19125,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.44418,1,1,2
WEST VIRGINIA,Marion,54049,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,4
ILLINOIS,Marion,17121,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2005000.0,2005000.0,54.67237,1,1,3
MISSISSIPPI,Marshall,28093,Severe Weather/Tornadoes 2023 Mar Central/East,2023,105000.0,105000.0,3.0771,1,1,3
TENNESSEE,Marshall,47117,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000000.0,1000000.0,27.05555,1,1,1
INDIANA,Marshall,18099,Severe Weather/Tornadoes 2023 Mar Central/East,2023,19000.0,19000.0,0.40991,1,1,6
KENTUCKY,Marshall,21157,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.0315,1,1,1
KENTUCKY,Martin,21159,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
VIRGINIA,Martinsville,51690,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,1.08988,1,1,1
ILLINOIS,Massac,17127,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.1464,1,1,2
KENTUCKY,McCracken,21145,Severe Weather/Tornadoes 2023 Mar Central/East,2023,4000.0,4000.0,0.05932,1,1,2
KENTUCKY,McCreary,21147,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
OKLAHOMA,McIntosh,40091,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.25506,1,1,1
PENNSYLVANIA,McKean,42083,Severe Weather/Tornadoes 2023 Mar Central/East,2023,17000.0,17000.0,0.43017,1,1,12
KENTUCKY,McLean,21149,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.2209,1,1,2
TENNESSEE,McNairy,47109,Severe Weather/Tornadoes 2023 Mar Central/East,2023,20422000.0,20422000.0,780.56798,1,1,14
KENTUCKY,Menifee,21165,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
WEST VIRGINIA,Mercer,54055,Severe Weather/Tornadoes 2023 Mar Central/East,2023,35000.0,35000.0,0.60286,1,1,1
PENNSYLVANIA,Mercer,42085,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.04608,1,1,2
OHIO,Mercer,39107,Severe Weather/Tornadoes 2023 Mar Central/East,2023,42000.0,42000.0,0.98966,1,1,5
